,SaleID,BranchID,Total,TimeID
0,1,264,74.16,10000
1,2,158,89.56,10001
2,3,78,126.44999999999999,10002
3,4,58,13.49,10003
4,5,57,19.29,10004
5,6,29,31.5,10005
6,7,376,34.339999999999996,10006
7,8,358,91.54999999999998,10007
8,9,343,65.61,10008
9,10,116,195.86,10009
10,11,343,9.95,10010
11,12,52,117.33,10011
12,13,220,89.92,10012
13,14,325,152.08999999999997,10013
14,15,120,2.49,10014
15,16,246,87.94999999999999,10015
16,17,307,44.75,10016
17,18,313,96.99,10017
18,19,247,131.54,10018
19,20,48,35.75,10019
20,21,47,129.89,10020
21,22,354,98.16999999999999,10021
22,23,95,192.68999999999997,10022
23,24,8,87.70000000000002,10023
24,25,208,87.45,10024
25,26,366,18.5,10025
26,27,77,65.49,10026
27,28,261,46.25,10027
28,29,236,4.5,10028
29,30,294,44.37,10029
30,31,90,27.450000000000003,10030
31,32,123,56.98,10031
32,33,397,65.03,10032
33,34,132,19.9,10033
34,35,199,72.64999999999999,10034
35,36,67,8.8,10035
36,37,348,88.84,10036
37,38,183,162.66,10037
38,39,320,49.480000000000004,10038
39,40,376,21.96,10039
40,41,393,96.15,10040
41,42,276,25.77,10041
42,43,159,109.3,10042
43,44,132,125.68,10043
44,45,95,72.08999999999999,10044
45,46,132,127.01,10045
46,47,74,153.04999999999998,10046
47,48,11,19.5,10047
48,49,74,36.25,10048
49,50,206,74.96000000000001,10049
50,51,387,106.85,10050
51,52,50,24.15,10051
52,53,266,60.15,10052
53,54,2,47.94,10053
54,55,30,146.84,10054
55,56,113,162.2,10055
56,57,384,60.0,10056
57,58,358,160.64999999999998,10057
58,59,98,90.63,10058
59,60,346,106.46,10059
60,61,132,61.199999999999996,10060
61,62,161,123.74,10061
62,63,3,89.55000000000001,10062
63,64,180,17.9,10063
64,65,304,23.38,10064
65,66,275,73.94999999999999,10065
66,67,250,145.86,10066
67,68,223,103.85,10067
68,69,367,119.42,10068
69,70,398,37.49,10069
70,71,80,50.980000000000004,10070
71,72,119,103.53,10071
72,73,215,72.36,10072
73,74,133,60.93,10073
74,75,165,9.96,10074
75,76,201,135.32999999999998,10075
76,77,245,9.0,10076
77,78,138,233.14,10077
78,79,222,119.61,10078
79,80,400,9.25,10079
80,81,364,50.56,10080
81,82,102,40.74,10081
82,83,24,51.3,10082
83,84,352,125.94999999999999,10083
84,85,320,93.85,10084
85,86,315,71.75,10085
86,87,231,105.51,10086
87,88,42,101.28,10087
88,89,67,126.75,10088
89,90,303,87.25,10089
90,91,234,88.1,10090
91,92,169,64.8,10091
92,93,296,11.89,10092
93,94,48,8.95,10093
94,95,399,29.849999999999998,10094
95,96,158,87.95,10095
96,97,212,28.0,10096
97,98,95,77.53999999999999,10097
98,99,255,27.75,10098
99,100,265,23.240000000000002,10099
100,101,208,147.57,10100
101,102,226,130.07,10101
102,103,7,61.06,10102
103,104,191,137.14,10103
104,105,181,134.75,10104
105,106,374,98.73,10105
106,107,366,93.85,10106
107,108,255,100.79999999999998,10107
108,109,246,186.2,10108
109,110,94,98.14,10109
110,111,252,153.22,10110
111,112,194,126.39999999999999,10111
112,113,10,71.24000000000001,10112
113,114,309,150.73,10113
114,115,148,102.05000000000001,10114
115,116,279,76.45,10115
116,117,235,9.95,10116
117,118,393,65.64,10117
118,119,219,103.00999999999999,10118
119,120,323,51.0,10119
120,121,43,69.89,10120
